,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Age_bins,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
2356,713637783,Existing Customer,44,F,3,Graduate,Married,Unknown,Blue,31,5,2,0,24936,2053,22883,0.716,1810,38,0.727,0.082,40대,4.36E-05,0.99996
2357,718162908,Existing Customer,55,M,3,College,Married,$80K - $120K,Blue,42,3,2,1,26101,614,25487,0.397,1472,48,0.412,0.024,50대,6.92E-05,0.99993
2358,708664008,Existing Customer,57,M,3,College,Married,$80K - $120K,Blue,45,6,3,4,14270,0,14270,0.398,1222,37,0.423,0,50대,0.00052057,0.99948
2359,711929058,Existing Customer,28,M,0,High School,Married,Unknown,Blue,21,5,3,5,25618,1209,24409,1.228,2157,49,1.882,0.047,20대,0.00074474,0.99926
2360,770781558,Existing Customer,35,F,2,Graduate,Married,Less than $40K,Blue,21,5,1,2,3230,2517,713,0.677,1914,31,0.348,0.779,30대,5.51E-05,0.99994
2361,790048158,Existing Customer,46,F,4,College,Married,Less than $40K,Blue,38,3,3,3,8881,1865,7016,1.279,2632,54,1.077,0.21,40대,0.00030845,0.99969
2362,721258158,Existing Customer,65,F,1,Uneducated,Single,Unknown,Blue,51,3,3,5,11037,1491,9546,0.651,2429,63,0.75,0.135,60대 이상,0.00086149,0.99914
2363,786480183,Existing Customer,50,F,2,Uneducated,Married,Unknown,Blue,44,6,2,5,16763,0,16763,0.88,3626,69,0.683,0,50대,0.00058091,0.99942
2364,721378008,Existing Customer,31,M,0,Uneducated,Divorced,$40K - $60K,Blue,21,6,2,2,2621,1461,1160,0.775,2718,71,0.775,0.557,30대,0.00010043,0.9999
2365,786566733,Existing Customer,49,M,2,Unknown,Single,$80K - $120K,Blue,43,3,3,5,4939,1190,3749,0.557,3764,64,0.524,0.241,40대,0.00098108,0.99902
2366,794551383,Existing Customer,50,F,3,College,Single,Less than $40K,Blue,32,5,3,4,4419,1218,3201,0.879,4535,75,0.562,0.276,50대,0.00052057,0.99948
2367,820981383,Existing Customer,44,F,4,High School,Divorced,Less than $40K,Blue,39,5,1,4,9235,1796,7439,0.958,1739,42,0.448,0.194,40대,0.00016112,0.99984
2368,713366583,Existing Customer,63,F,1,High School,Married,Less than $40K,Blue,56,6,1,3,3055,1685,1370,0.541,1405,40,0.481,0.552,60대 이상,8.45E-05,0.99992
2369,767311008,Existing Customer,41,M,1,Graduate,Divorced,$80K - $120K,Blue,35,6,2,3,19412,770,18642,0.755,1576,41,0.952,0.04,40대,0.00017969,0.99982
2370,716624133,Existing Customer,56,M,1,Unknown,Married,$80K - $120K,Blue,36,6,1,3,12786,1880,10906,0.702,1205,19,0.462,0.147,50대,9.56E-05,0.9999
2371,712727283,Existing Customer,55,M,1,Graduate,Married,$60K - $80K,Blue,36,4,2,3,4666,1275,3391,0.397,1281,28,0.75,0.273,50대,0.00017969,0.99982
2372,716059608,Existing Customer,48,F,4,College,Single,Less than $40K,Blue,38,4,3,3,4894,1505,3389,0.78,3277,67,0.558,0.308,40대,0.00030845,0.99969
2373,708292833,Existing Customer,35,M,2,High School,Single,$120K +,Blue,36,4,2,3,27389,1250,26139,0.641,2754,60,0.463,0.046,30대,0.0001861,0.99981
2374,720013083,Existing Customer,30,F,0,Post-Graduate,Single,Less than $40K,Blue,18,6,3,2,2132,797,1335,0.779,3265,74,0.574,0.374,30대,0.00018162,0.99982
2375,710540883,Existing Customer,37,M,3,High School,Single,$80K - $120K,Blue,24,5,3,2,6590,0,6590,0.714,2449,67,0.634,0,30대,0.00018145,0.99982
2376,709212183,Existing Customer,53,F,2,Graduate,Married,Less than $40K,Blue,36,6,1,3,3176,1470,1706,0.388,1634,53,0.472,0.463,50대,9.26E-05,0.99991
2377,713424108,Existing Customer,37,M,1,Graduate,Single,$60K - $80K,Blue,27,4,1,3,4288,2349,1939,0.718,2591,57,0.541,0.548,30대,8.70E-05,0.99991
2378,718476033,Existing Customer,65,F,0,Uneducated,Single,Unknown,Blue,56,5,3,5,20130,2355,17775,0.716,2444,49,0.633,0.117,60대 이상,0.00078765,0.99921
2379,815001108,Existing Customer,48,M,2,Doctorate,Single,Less than $40K,Blue,43,3,3,2,5945,1685,4260,0.9,3598,67,0.718,0.283,40대,0.00026028,0.99974
2380,709802208,Existing Customer,37,M,1,Graduate,Married,$40K - $60K,Blue,17,3,1,4,3350,0,3350,1.316,2849,61,0.694,0,30대,0.00014834,0.99985
2381,713445183,Existing Customer,35,M,1,High School,Married,$60K - $80K,Blue,26,4,3,2,4008,1841,2167,1.504,2794,58,1.148,0.459,30대,0.00016413,0.99984
2382,717310458,Existing Customer,35,F,3,Graduate,Single,Less than $40K,Blue,27,3,3,2,5780,938,4842,0.988,2960,65,0.757,0.162,30대,0.00018665,0.99981
2383,789158433,Existing Customer,49,F,2,High School,Unknown,$40K - $60K,Blue,38,4,1,2,2497,1674,823,0.701,2922,53,0.963,0.67,40대,5.35E-05,0.99995
2384,788761608,Existing Customer,26,F,0,High School,Single,Unknown,Blue,13,3,3,4,10286,2286,8000,0.671,2564,57,0.462,0.222,20대,0.00043049,0.99957
2385,709916058,Existing Customer,58,M,1,Unknown,Married,$60K - $80K,Blue,36,3,1,3,2347,2163,184,0.615,1631,40,0.29,0.922,50대,9.56E-05,0.9999
2386,789804933,Existing Customer,29,F,2,Uneducated,Single,Unknown,Blue,18,4,1,2,23125,1236,21889,0.995,2536,69,0.865,0.053,20대,5.66E-05,0.99994
2387,780070833,Existing Customer,58,F,2,Unknown,Married,Less than $40K,Blue,43,6,2,2,3034,2517,517,0.63,1617,29,1.417,0.83,50대,0.00012511,0.99987
2388,772776033,Existing Customer,33,M,2,College,Single,$80K - $120K,Blue,23,3,4,3,7081,1874,5207,0.699,2249,47,1.35,0.265,30대,0.00035543,0.99964
2389,719804208,Existing Customer,36,M,2,Graduate,Married,$40K - $60K,Blue,28,5,1,3,6824,1873,4951,0.563,1933,48,0.655,0.274,30대,9.26E-05,0.99991
2390,715077483,Existing Customer,47,F,3,Doctorate,Married,Less than $40K,Blue,36,4,3,4,1438.3,772,666.3,1.451,2250,40,0.905,0.537,40대,0.00077466,0.99923
2391,717000858,Existing Customer,41,M,2,Graduate,Married,Less than $40K,Blue,29,3,2,2,2683,1738,945,0.745,2274,52,0.733,0.648,40대,0.00011382,0.99989
2392,792402483,Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue,40,5,2,1,12280,985,11295,0.841,4263,70,1,0.08,40대,7.20E-05,0.99993
2393,712973733,Existing Customer,58,M,4,Graduate,Married,$60K - $80K,Blue,36,3,2,2,14607,1480,13127,0.346,1393,38,0.462,0.101,50대,0.00011937,0.99988
2394,813213558,Existing Customer,53,F,1,Doctorate,Single,Less than $40K,Blue,48,4,3,3,2267,1469,798,0.716,3709,64,0.684,0.648,50대,0.00041087,0.99959
2395,718215033,Existing Customer,54,F,3,Unknown,Married,Less than $40K,Blue,36,6,2,4,2556,2260,296,0.487,1401,30,0.579,0.884,50대,0.00037246,0.99963
2396,717207408,Existing Customer,39,F,1,Uneducated,Divorced,Unknown,Blue,34,4,1,2,12512,666,11846,0.914,2995,60,0.875,0.053,30대,5.32E-05,0.99995
2397,711426033,Existing Customer,49,M,2,Graduate,Married,$80K - $120K,Blue,39,3,2,2,11332,946,10386,0.857,3806,65,0.667,0.083,40대,0.00011382,0.99989
2398,719233833,Existing Customer,35,F,3,High School,Married,Less than $40K,Blue,23,3,3,4,3073,526,2547,0.702,1944,55,0.618,0.171,30대,0.00052052,0.99948
2399,716864733,Existing Customer,47,M,3,College,Married,$120K +,Silver,27,6,3,3,34516,2315,32201,0.599,1805,46,0.704,0.067,40대,0.00027576,0.99972
2400,821168733,Existing Customer,38,M,3,Graduate,Married,$60K - $80K,Blue,34,6,3,3,5323,2301,3022,0.68,1783,33,0.65,0.432,30대,0.0003139,0.99969
2401,710135058,Existing Customer,56,M,1,Graduate,Married,$80K - $120K,Blue,44,3,1,0,9078,1501,7577,0.51,1543,34,0.545,0.165,50대,1.91E-05,0.99998
2402,720228708,Existing Customer,56,M,2,High School,Married,$120K +,Blue,46,4,1,3,27029,1347,25682,0.381,1302,27,0.421,0.05,50대,9.01E-05,0.99991
2403,718618458,Existing Customer,38,M,3,High School,Single,$60K - $80K,Blue,25,5,1,4,9859,1305,8554,0.722,4345,72,0.674,0.132,30대,0.00015942,0.99984
2404,719470458,Attrited Customer,46,M,3,College,Single,$80K - $120K,Blue,39,1,4,3,4026,243,3783,0.738,1102,27,0.8,0.06,40대,0.9973,0.00270308
2405,719587158,Existing Customer,37,M,1,High School,Single,$40K - $60K,Blue,25,3,2,3,2608,1799,809,0.732,2565,72,0.636,0.69,30대,0.00017468,0.99983
2406,715499808,Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,36,4,1,4,3552,2517,1035,0.465,1342,26,1,0.709,60대 이상,0.00014907,0.99985
2407,718589133,Existing Customer,65,F,1,Graduate,Single,Less than $40K,Blue,56,6,2,2,4613,1619,2994,0.697,2328,62,0.722,0.351,60대 이상,0.00010684,0.99989
2408,789235383,Existing Customer,38,M,4,College,Married,$80K - $120K,Blue,27,5,2,4,10386,1909,8477,1.43,2119,52,1.08,0.184,30대,0.00033297,0.99967
2409,773364483,Existing Customer,45,F,4,Doctorate,Unknown,Unknown,Silver,39,4,1,2,34516,1298,33218,0.757,1906,39,0.773,0.038,40대,7.55E-05,0.99992
2410,713548158,Existing Customer,26,M,0,College,Single,$40K - $60K,Blue,36,5,2,3,2657,1611,1046,0.599,2349,41,0.464,0.606,20대,0.00015971,0.99984
2411,720264783,Existing Customer,58,F,2,Graduate,Married,Less than $40K,Blue,44,4,2,3,5031,1327,3704,0.553,1433,34,0.889,0.264,50대,0.00019143,0.99981
2412,715319958,Attrited Customer,48,M,3,Uneducated,Married,$120K +,Blue,36,5,2,4,34516,787,33729,0.763,1312,32,0.6,0.023,40대,0.99714,0.00286097
2413,710528583,Existing Customer,26,F,0,Unknown,Single,$40K - $60K,Blue,16,6,2,4,1612,835,777,0.588,2148,40,0.379,0.518,20대,0.00030803,0.99969
2414,809990883,Existing Customer,48,F,3,Graduate,Single,Less than $40K,Blue,43,6,2,2,2423,1773,650,0.574,2038,64,0.362,0.732,40대,0.00011811,0.99988
2415,714412308,Attrited Customer,33,M,3,Graduate,Married,$80K - $120K,Blue,36,6,3,5,7140,0,7140,0.401,916,18,0.2,0,30대,0.99892,0.0010775
2416,772303458,Existing Customer,62,F,0,Doctorate,Married,$40K - $60K,Blue,51,3,3,2,3377,948,2429,0.461,1407,44,0.467,0.281,60대 이상,0.00022336,0.99978
2417,721243083,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516,2408,32108,0.796,1187,40,0.6,0.07,50대,0.99819,0.00181217
2418,711990933,Existing Customer,40,F,2,Graduate,Single,Less than $40K,Blue,29,4,3,2,2295,0,2295,0.699,3292,62,0.824,0,40대,0.00017987,0.99982
2419,819977058,Existing Customer,46,M,2,High School,Single,$40K - $60K,Blue,41,3,3,2,3150,1543,1607,0.998,3432,71,0.972,0.49,40대,0.00017486,0.99983
2420,721467258,Existing Customer,58,M,1,High School,Married,$40K - $60K,Blue,36,3,2,5,2165,1135,1030,0.707,1541,33,0.833,0.524,50대,0.00051556,0.99948
2421,719976558,Existing Customer,47,M,2,Graduate,Unknown,$60K - $80K,Blue,34,3,2,4,4249,1562,2687,0.773,1881,49,0.815,0.368,40대,0.00032656,0.99967
2422,718824783,Existing Customer,50,M,2,Unknown,Divorced,$60K - $80K,Blue,41,6,1,3,2966,1433,1533,0.49,1986,50,0.613,0.483,50대,0.00010183,0.9999
2423,713303733,Existing Customer,53,M,1,Graduate,Married,$120K +,Blue,41,6,3,2,1612,744,868,0.636,1564,33,0.5,0.462,50대,0.00016883,0.99983
2424,711129483,Existing Customer,45,M,3,Graduate,Married,$60K - $80K,Blue,36,3,1,3,14593,1504,13089,0.668,3447,72,0.895,0.103,40대,9.61E-05,0.9999
2425,779618433,Existing Customer,48,M,4,Uneducated,Single,$40K - $60K,Blue,38,6,3,2,8327,1551,6776,0.463,4428,82,0.822,0.186,40대,0.00019396,0.99981
2426,797757333,Existing Customer,43,M,3,Post-Graduate,Married,$60K - $80K,Gold,37,6,1,2,34516,1580,32936,0.707,4149,86,0.755,0.046,40대,7.75E-05,0.99992
2427,814497483,Existing Customer,60,M,0,Uneducated,Married,$60K - $80K,Blue,55,6,1,2,6479,1393,5086,0.468,1618,47,0.958,0.215,60대 이상,4.86E-05,0.99995
2428,709623483,Existing Customer,56,M,2,High School,Married,$120K +,Blue,41,4,1,3,18442,1470,16972,0.491,1281,36,0.8,0.08,50대,9.01E-05,0.99991
2429,709056558,Existing Customer,43,F,3,College,Married,$40K - $60K,Blue,31,5,3,2,2800,2517,283,0.816,1994,41,0.64,0.899,40대,0.00018146,0.99982
2430,708238833,Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,36,6,2,3,3032,2215,817,0.408,1387,30,0.579,0.731,50대,0.00019311,0.99981
2431,813261408,Existing Customer,52,F,1,Uneducated,Married,$40K - $60K,Blue,47,6,3,3,2151,1338,813,0.926,3446,58,1,0.622,50대,0.00029196,0.99971
2432,720424608,Existing Customer,56,F,1,Unknown,Married,Unknown,Blue,36,6,3,2,24073,1084,22989,0.847,1341,37,1.176,0.045,50대,0.00018558,0.99981
2433,798022683,Attrited Customer,43,M,1,Graduate,Married,$80K - $120K,Blue,37,4,2,3,25517,321,25196,0.769,2508,44,0.294,0.013,40대,0.99447,0.00553
2434,769756983,Existing Customer,38,M,3,Graduate,Married,$60K - $80K,Blue,32,3,1,2,7709,2227,5482,1.295,2520,61,0.848,0.289,30대,5.72E-05,0.99994
2435,712674183,Existing Customer,53,M,2,College,Married,$40K - $60K,Blue,33,3,3,1,4065,2180,1885,0.321,1271,36,0.2,0.536,50대,0.00010546,0.99989
2436,708900408,Existing Customer,52,F,1,Graduate,Divorced,Unknown,Blue,35,3,2,4,13169,1499,11670,0.603,4370,83,0.537,0.114,50대,0.00030653,0.99969
2437,713625483,Existing Customer,58,M,2,College,Married,$80K - $120K,Blue,44,3,2,2,11811,2508,9303,0.476,1469,29,0.812,0.212,50대,0.00011066,0.99989
2438,716869458,Existing Customer,34,F,3,College,Single,Less than $40K,Blue,36,3,6,1,7440,704,6736,0.551,2251,63,0.537,0.095,30대,8.64E-05,0.99991
2439,788723133,Existing Customer,36,M,1,High School,Single,$40K - $60K,Blue,20,5,1,2,12714,976,11738,0.649,2240,53,0.395,0.077,30대,5.03E-05,0.99995
2440,794462133,Existing Customer,55,F,0,Graduate,Single,$40K - $60K,Blue,35,5,1,3,3735,1978,1757,0.675,1749,41,0.577,0.53,50대,7.95E-05,0.99992
2441,712604133,Existing Customer,54,M,1,Uneducated,Married,$80K - $120K,Blue,43,3,1,4,25882,1699,24183,0.428,1736,48,0.371,0.066,50대,0.00015252,0.99985
2442,714397983,Existing Customer,36,M,2,College,Married,$40K - $60K,Blue,36,4,3,1,3877,1495,2382,0.783,1942,42,0.75,0.386,30대,0.00010546,0.99989
2443,788269158,Existing Customer,35,F,2,Graduate,Single,Unknown,Blue,27,4,3,0,3280,1806,1474,0.963,2534,78,0.95,0.551,30대,6.64E-05,0.99993
2444,715898058,Existing Customer,53,M,2,Graduate,Married,$120K +,Blue,36,5,1,3,11023,0,11023,0.539,1656,41,0.367,0,50대,9.26E-05,0.99991
2445,711906033,Existing Customer,48,F,3,Graduate,Unknown,Less than $40K,Blue,36,4,2,2,6182,1131,5051,0.566,3546,63,0.615,0.183,40대,0.00011811,0.99988
2446,711367308,Existing Customer,37,M,3,Uneducated,Single,$40K - $60K,Blue,19,3,3,4,2186,1185,1001,0.998,2614,67,0.861,0.542,30대,0.00055052,0.99945
2447,790186458,Existing Customer,45,M,3,Uneducated,Single,$80K - $120K,Blue,39,3,1,0,17996,864,17132,0.597,1589,30,0.667,0.048,40대,2.17E-05,0.99998
2448,712040433,Existing Customer,54,F,1,High School,Married,Less than $40K,Blue,43,6,2,3,2306,2200,106,0.697,2097,57,0.541,0.954,50대,0.00017468,0.99983
2449,709616958,Existing Customer,38,M,2,High School,Single,$60K - $80K,Silver,30,4,3,4,26556,1583,24973,0.694,3168,73,0.738,0.06,30대,0.00045327,0.99955
2450,714633858,Existing Customer,35,F,2,College,Married,Less than $40K,Blue,18,3,3,2,5779,2517,3262,1.201,2102,32,1.133,0.436,30대,0.00017488,0.99983
2451,794818833,Existing Customer,36,F,1,Uneducated,Single,Less than $40K,Blue,30,6,1,2,5494,2078,3416,0.79,2661,58,0.871,0.378,30대,5.32E-05,0.99995
2452,711219333,Existing Customer,33,M,1,Post-Graduate,Married,$120K +,Blue,14,6,1,0,7571,2264,5307,0.696,2273,49,0.485,0.299,30대,2.24E-05,0.99998
2453,713384508,Existing Customer,28,M,1,High School,Single,Less than $40K,Blue,14,4,3,1,2897,1398,1499,0.907,2698,73,0.872,0.483,20대,9.90E-05,0.9999
2454,772514808,Existing Customer,36,F,2,Uneducated,Single,$40K - $60K,Blue,26,3,2,4,3131,2379,752,0.748,2315,63,0.853,0.76,30대,0.00033577,0.99966
2455,710808108,Existing Customer,34,F,3,College,Divorced,Less than $40K,Blue,27,3,3,2,4274,2517,1757,0.666,2257,54,0.8,0.589,30대,0.00018146,0.99982
2456,778973658,Existing Customer,55,M,0,Doctorate,Married,$60K - $80K,Blue,36,4,6,4,4980,906,4074,0.721,2273,66,0.886,0.182,50대,0.00050583,0.99949
2457,712005108,Existing Customer,61,F,0,Post-Graduate,Married,Less than $40K,Blue,48,3,3,3,3156,2155,1001,0.438,1376,44,0.571,0.683,60대 이상,0.00030545,0.99969
2458,804577833,Existing Customer,44,F,2,Graduate,Married,Less than $40K,Blue,39,5,1,0,6861,2101,4760,0.464,3974,63,0.909,0.306,40대,2.03E-05,0.99998
2459,715028283,Existing Customer,54,M,1,Graduate,Married,$80K - $120K,Blue,46,3,3,2,15554,2497,13057,1.027,2836,61,0.605,0.161,50대,0.00016883,0.99983
2460,789786258,Existing Customer,39,M,2,High School,Married,$80K - $120K,Blue,28,3,2,4,26570,1915,24655,1.454,2118,33,1.062,0.072,30대,0.00031746,0.99968
2461,715421058,Existing Customer,51,M,1,Unknown,Married,$60K - $80K,Blue,36,3,2,4,22224,979,21245,1.255,3346,69,1.156,0.044,50대,0.00033692,0.99966
2462,797166633,Existing Customer,47,M,2,Unknown,Single,$80K - $120K,Blue,41,6,2,4,10606,1713,8893,0.899,2694,61,0.906,0.162,40대,0.00035894,0.99964
2463,711041508,Existing Customer,37,F,1,High School,Married,$40K - $60K,Blue,25,4,3,4,5865,2517,3348,1.348,2623,47,1.35,0.429,30대,0.00047086,0.99953
2464,712847208,Existing Customer,47,F,3,Graduate,Unknown,$40K - $60K,Blue,36,5,2,3,5369,1854,3515,0.959,1898,50,0.786,0.345,40대,0.00019864,0.9998
2465,779174133,Existing Customer,56,M,3,Uneducated,Married,$120K +,Blue,43,5,1,5,5188,753,4435,0.591,1540,30,0.429,0.145,50대,0.00029175,0.99971
2466,715680933,Existing Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,36,4,2,4,17742,1463,16279,0.803,3369,55,0.774,0.082,50대,0.00030653,0.99969
2467,770871708,Existing Customer,62,M,0,Graduate,Married,$40K - $60K,Blue,48,5,1,5,2591,0,2591,0.601,2123,56,0.697,0,60대 이상,0.00023467,0.99977
2468,772643058,Existing Customer,58,F,3,Graduate,Married,Less than $40K,Blue,48,6,2,3,2800,1834,966,0.615,1571,36,0.636,0.655,50대,0.00019864,0.9998
2469,718199133,Existing Customer,57,M,1,High School,Married,$80K - $120K,Blue,36,3,2,2,6543,2260,4283,0.448,1519,31,0.632,0.345,50대,0.00010386,0.9999
2470,721475133,Existing Customer,54,F,1,Doctorate,Single,Unknown,Blue,36,6,3,4,26053,829,25224,0.669,2768,70,0.628,0.032,50대,0.00070078,0.9993
2471,766322883,Existing Customer,33,F,3,College,Single,$40K - $60K,Blue,26,6,3,5,6316,1344,4972,0.823,2401,71,0.732,0.213,30대,0.00090051,0.9991
2472,771197433,Existing Customer,54,F,1,Graduate,Married,Less than $40K,Blue,41,3,2,4,4658,588,4070,0.856,1351,30,1.5,0.126,50대,0.00030653,0.99969
2473,709516458,Existing Customer,30,M,0,Graduate,Divorced,$60K - $80K,Blue,22,3,3,3,6476,0,6476,0.551,2723,66,0.65,0,30대,0.0002596,0.99974
2474,716456808,Existing Customer,36,F,2,High School,Single,Less than $40K,Blue,36,6,2,5,8087,1263,6824,0.615,2429,69,0.643,0.156,30대,0.00054925,0.99945
2475,716819958,Existing Customer,60,M,2,Graduate,Married,$60K - $80K,Blue,50,3,1,2,9033,845,8188,0.663,1661,35,0.4,0.094,60대 이상,5.51E-05,0.99994
2476,779449308,Existing Customer,46,F,4,High School,Single,Less than $40K,Blue,28,6,3,4,3206,0,3206,1.065,3253,72,0.532,0,40대,0.00052608,0.99947
2477,784891458,Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,49,4,3,3,28751,2158,26593,0.536,1502,34,0.789,0.075,50대,0.00028395,0.99972
2478,790004883,Existing Customer,55,M,1,High School,Married,$80K - $120K,Blue,47,3,3,3,2938,1995,943,0.514,1352,30,0.429,0.679,50대,0.00027604,0.99972
2479,770262183,Existing Customer,31,M,0,Uneducated,Single,Less than $40K,Blue,25,5,2,2,5715,1741,3974,0.816,2324,67,1.03,0.305,30대,0.00010043,0.9999
2480,715277583,Existing Customer,55,F,3,Uneducated,Divorced,Less than $40K,Blue,36,3,2,1,2111,1209,902,0.594,2803,61,0.605,0.573,50대,7.32E-05,0.99993
2481,815510883,Existing Customer,36,M,2,Post-Graduate,Single,$40K - $60K,Blue,31,3,2,5,11862,2282,9580,0.837,2576,74,0.85,0.192,30대,0.00066474,0.99934
2482,713997183,Existing Customer,34,F,2,Unknown,Single,Less than $40K,Blue,36,3,3,2,2791,2160,631,0.825,2214,56,0.6,0.774,30대,0.00019771,0.9998
2483,715107033,Existing Customer,33,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,4,6551,1440,5111,0.629,2429,77,0.453,0.22,30대,0.00030653,0.99969
2484,720706008,Existing Customer,30,M,2,Post-Graduate,Single,$40K - $60K,Blue,16,5,3,5,4533,1977,2556,0.664,2679,69,0.605,0.436,30대,0.0010502,0.99895
2485,710108133,Existing Customer,54,F,2,Graduate,Married,$40K - $60K,Blue,36,5,3,0,1854,1528,326,0.444,1307,39,0.393,0.824,50대,6.64E-05,0.99993
2486,718983333,Existing Customer,53,M,2,Uneducated,Married,$80K - $120K,Blue,43,6,1,3,6704,1354,5350,0.411,1331,30,0.364,0.202,50대,9.52E-05,0.9999
2487,714030183,Existing Customer,59,M,0,Graduate,Single,$80K - $120K,Silver,36,5,3,3,34516,1494,33022,1.229,3259,65,0.585,0.043,50대,0.00023457,0.99977
2488,710496708,Existing Customer,41,M,2,College,Single,$120K +,Blue,32,6,3,2,5489,1513,3976,0.87,4085,65,0.548,0.276,40대,0.00017488,0.99983
2489,714935883,Existing Customer,45,M,3,Uneducated,Married,$40K - $60K,Blue,36,3,1,1,10619,607,10012,0.883,4074,65,0.477,0.057,40대,3.54E-05,0.99996
2490,718972758,Existing Customer,50,F,2,Graduate,Married,Less than $40K,Blue,40,5,3,3,2481,1287,1194,0.465,1825,51,0.821,0.519,50대,0.00030251,0.9997
2491,711827958,Existing Customer,57,M,2,Uneducated,Married,$60K - $80K,Blue,47,4,4,1,5100,1970,3130,0.371,1032,26,0.368,0.386,50대,0.00013479,0.99987
2492,778724058,Existing Customer,63,M,0,Doctorate,Single,$40K - $60K,Blue,49,5,4,3,5905,726,5179,0.85,3982,65,0.857,0.123,60대 이상,0.00045394,0.99955
2493,809620833,Existing Customer,35,F,3,Unknown,Single,Unknown,Blue,30,3,3,2,9293,0,9293,0.897,2314,59,1.034,0,30대,0.00020516,0.99979
2494,718920708,Existing Customer,35,M,3,Graduate,Married,$60K - $80K,Blue,25,5,3,3,5240,1451,3789,1.198,2172,38,0.81,0.277,30대,0.0003139,0.99969
2495,771051783,Existing Customer,53,M,3,High School,Married,$120K +,Blue,40,6,2,5,4182,741,3441,0.885,1297,24,1.182,0.177,50대,0.00056993,0.99943
2496,715970133,Existing Customer,33,F,4,College,Divorced,Less than $40K,Blue,24,6,2,2,9857,0,9857,0.699,3448,103,0.635,0,30대,0.00011605,0.99988
2497,806889633,Existing Customer,38,M,2,Uneducated,Married,$80K - $120K,Blue,33,3,1,4,20117,1226,18891,1.4,2906,58,1,0.061,30대,0.00016249,0.99984
2498,717338733,Existing Customer,31,M,0,High School,Divorced,Less than $40K,Blue,22,3,2,3,6012,0,6012,0.968,2801,72,0.674,0,30대,0.0001597,0.99984
2499,779223858,Existing Customer,37,M,2,Graduate,Married,$60K - $80K,Blue,27,4,2,4,6369,0,6369,1.454,2675,47,1.136,0,30대,0.00032656,0.99967
2500,769980333,Existing Customer,36,M,1,Uneducated,Single,$80K - $120K,Blue,30,4,2,5,13005,2152,10853,1.424,3023,53,0.767,0.165,30대,0.00054528,0.99945
2501,716112933,Attrited Customer,39,F,3,Graduate,Married,Unknown,Blue,36,3,2,3,1575,592,983,0.236,644,15,0.154,0.376,30대,0.99499,0.00501
2502,788783133,Existing Customer,58,F,0,Post-Graduate,Married,Less than $40K,Blue,39,5,3,3,6679,1207,5472,0.538,1649,29,0.381,0.181,50대,0.00030545,0.99969
2503,816325533,Existing Customer,39,F,1,Graduate,Married,Less than $40K,Blue,34,6,3,5,6458,1802,4656,0.923,2315,49,0.581,0.279,30대,0.00083788,0.99916
2504,720113433,Existing Customer,61,M,0,Unknown,Single,$60K - $80K,Blue,48,3,2,4,20803,1446,19357,0.736,2073,43,0.654,0.07,60대 이상,0.00030803,0.99969
2505,717233058,Existing Customer,34,M,4,Unknown,Married,$40K - $60K,Blue,26,3,2,4,5540,1240,4300,0.843,1524,31,0.824,0.224,30대,0.00037644,0.99962
2506,710233683,Existing Customer,55,M,3,Graduate,Married,$80K - $120K,Blue,36,4,3,4,2801,2403,398,0.884,1526,44,1,0.858,50대,0.00053543,0.99946
2507,778327908,Existing Customer,50,M,2,Uneducated,Single,Less than $40K,Blue,40,4,3,5,2419,2380,39,0.695,4099,73,0.659,0.984,50대,0.00091777,0.99908
2508,716400633,Existing Customer,33,M,3,High School,Single,$40K - $60K,Blue,24,6,3,3,5156,1427,3729,0.48,2057,54,0.421,0.277,30대,0.00030516,0.99969
2509,787488108,Existing Customer,48,F,1,High School,Married,Unknown,Blue,36,6,4,4,14228,1953,12275,0.651,1970,51,0.645,0.137,40대,0.00056901,0.99943
2510,771649083,Existing Customer,63,M,0,High School,Married,$80K - $120K,Blue,51,3,3,4,10257,1021,9236,0.467,1508,30,0.429,0.1,60대 이상,0.00043049,0.99957
2511,789853533,Attrited Customer,54,M,3,High School,Married,$40K - $60K,Blue,44,2,1,5,3032,0,3032,0.949,1037,14,2.5,0,50대,0.99639,0.00361108
2512,806256333,Attrited Customer,41,M,4,Graduate,Unknown,$60K - $80K,Blue,36,2,3,5,1438.3,312,1126.3,0.657,1786,26,0.733,0.217,40대,0.99893,0.00106612
